name,latin
Maorigerygone,Gerygone igata
Weisskopf-Seeadler,Haliaeetus leucocephalus
Maorifruchttaube,Hemiphaga novaeseelandiae
Braunaugenvireo,Vireo bellii
Goldkopf-Zistensänger,Cisticola exilis
Bairdammer,Ammodramus bairdii
Gouldpapageiamadine,Erythrura gouldiae
Sperber,Accipiter nisus
Schwarznacken-Stelzenläufer,Himantopus mexicanus
Braunhals-Säbelschnäbler,Recurvirostra americana
Kalifornien-Schopftyrann,Myiarchus cinerascens
Raggiparadiesvogel,Paradisaea raggiana
Rostband-Honigfresser,Conopophila albogularis
Virginiauhu,Bubo virginianus
Rosella,Platycercus eximius
Gelbbauch-Schopftyrann,Myiarchus crinitus
Steppenläufer,Pedionomus torquatus
Tui,Prosthemadera novaeseelandiae
Weißkehlente,Anas gracilis
Graubrustpitohui,Colluricincla harmonica
Australzwergente,Nettapus pulchellus
Mähnenente,Chenonetta jubata
Weißstirn-Schwatzvogel,Manorina melanocephala
Reinwardt-Großfußhuhn,Megapodius reinwardt
Kaiseradler,Aquila heliaca
Amerk. Blässhuhn,Fulica americana
Azurfink,Passerina caerulea
Star,Sturnus vulgaris
Rotschnabel-Pfeifgans,Dendrocygna autumnalis
Rotaugen-Kuhstärling,Molothrus aeneus
Perpousefruchttaube,Ptilinopus perousii
Buschmeise,Psaltriparus minimus
Nördlicher Hauszaunkönig,Troglodytes aedon
Königsralle,Rallus elegans
Rotlappen-Honigfresser,Anthochaera carunculata
Glücksschwalbe,Hirundo neoxena
Kea,Nestor notabilis
Turmfalke,Falco tinnunculus
Rohrweihe,Circus aeruginosus
Waldbaumläufer,Certhia familiaris
Rotstirngirlitz,Serinus pusillus
Blewittkauz,Athene blewitti
Goldfasan,Chrysolophus pictus
Streifenprinie,Prinia gracilis
Grandala,Grandala coelicolor
Gebirgsstelze,Motacilla cinerea
Kormoran,Phalacrocorax carbo
Doppelhornvogel,Buceros bicornis
Indische Trappe,Sypheotides indica
Buntspecht,Dendrocopos major
Großer Adjutant,Leptoptilos dubius
Smaragdspint,Merops orientalis
Buntfasan,Phasianus versicolor
Himalaya-Glanzfasan,Lophophorus impejanus
Hirtenmaina,Acridotheres tristis
Flussuferläufer,Actitis hypoleucos
Rotstirn-Schneidervogel,Orthotomus sutorius
Krickente,Anas crecca
Kupferschmied-Bartvogel,Psilopogon haemacephalus
Nipponibis,Nipponia nippon
Haubenlerche,Galerida cristata
Weißflügelgimpel,Rhodospiza obsoleta
Wüstensteinschmätzer,Oenanthe deserti
Blässhuhn,Fulica atra
Uhu,Bubo bubo
Wiedehopf,Upupa epops
Brahminenweih,Haliastur indus
Bergfink,Fringilla montifringilla
Braunwürger,Lanius cristatus
Jagdelster,Cissa chinensis
Garteniora,Aegithina tiphia
Lasurmeise,Cyanistes cyanus
Bayaweber,Ploceus philippinus
Schwarzstorch,Ciconia nigra
Bartmeise,Panurus biarmicus
Königsdrongo,Dicrurus macrocercus
Schwarznackenpirol,Oriolus chinensis
Blaumerle,Monticola solitarius
Ibisschnabel,Ibidorhyncha struthersii
Grünflügeltaube,Chalcophaps indica
Indischerkoel,Eudynamys scolopaceus
Blauer Pfau,Pavo cristatus
Indiengeier,Gyps indicus
Dickschnabelkrähe,Corvus macrorhynchos
Seidenreiher,Egretta garzetta
Zwergtaucher,Tachybaptus ruficollis
Flussregenpfeifer,Charadrius dubius
Mandarinente,Aix galericulata
Grünrücken-Nektarvogel,Cinnyris jugularis
Maskeneule,Phodilus badius
Dajaldrossel,Copsychus saularis
Affenadler,Pithecophaga jefferyi
Wasserrotschwanz,Phoenicurus fuliginosus
Purpurreiher,Ardea purpurea
Tigerfink,Amandava amandava
Bankivahuhn,Gallus gallus
Mandschurenkranich,Grus japonensis
Rotsteißbülbül,Pycnonotus cafer
Rotlappenkiebitz,Vanellus indicus
Nashornalk,Cerorhinca monocerata
Felsentaube,Columba livia
Saatkrähe,Corvus frugilegus
Halsbandsittich,Psittacula krameri
Rosenstar,Pastor roseus
Rostgans,Tadorna ferruginea
Saruskranich,Antigone antigone
Satyrtragopan,Tragopan satyra
Muskatfink,Lonchura punctulata
Zwergmennigvogel,Pericrocotus cinnamomeus
Zwergsäger,Mergellus albellus
Löffelstrandläufer,Calidris pygmaea
Perlhalstaube,Spilopelia chinensis
Schmuckkitta,Urocissa ornata
Ceylonschwalm,Batrachostomus moniliger
Storchschnabelliest,Pelargopsis capensis
Wüstengimpel,Bucanetes githagineus
Berghänfling,Linaria flavirostris
Lazulischnäpper,Eumyias thalassinus
Amethystkuckuck,Chrysococcyx xanthorhynchus
Purpurhähnchen,Leptopoecile sophiae
Weißhaubenhäherling,Garrulax leucolophus
Weißkopf-Ruderente,Oxyura leucocephala
Braunliest,Halcyon smyrnensis
Weidenmeise,Poecile montanus
Chinadommel,Ixobrychus sinensis
Sperbertäubchen,Geopelia striata
Glanzkrähe,Corvus splendens
